,Cliente,Data,Chamadas,Completas,Recusadas,Abandonadas
0,Essence,25/11/2025,44824,1125,43633,66
1,investmais,25/11/2025,31499,580,30891,28
2,Corplar,25/11/2025,24472,682,23619,171
3,Quality,25/11/2025,134193,2289,131773,131
4,Lunart 3,25/11/2025,1020,230,430,360
5,valm,25/11/2025,82889,2105,80749,35
6,Datateck,25/11/2025,33922,861,33004,57
7,RDF,25/11/2025,155333,3490,151739,104
8,afsilva,25/11/2025,6294,191,6072,31
9,Money Solutions,25/11/2025,0,0,0,0
