cliente,Data,completas,recusadas,abandonadas,totais,agentes_validos
investmaiscontech.callix.com.br,2025-12-20,0,0,0,0,0
valmcontech.callix.com.br,2025-12-20,0,0,0,0,0
moneysolutionscontech.callix.com.br,2025-12-20,40,1512,21,1573,1
essencecontech.callix.com.br,2025-12-20,0,0,0,0,0
corplarcontech.callix.com.br,2025-12-20,0,0,0,0,0
datateckcontech.callix.com.br,2025-12-20,0,0,0,0,0
rdfcontech.callix.com.br,2025-12-20,0,0,0,0,0
afsilvacontech.callix.com.br,2025-12-20,0,0,0,0,0
informacredcontech.callix.com.br,2025-12-20,0,0,0,0,0
connectioncontech.callix.com.br,2025-12-20,0,0,0,0,0
elloconsultoriacontech.callix.com.br,2025-12-20,0,0,0,0,0
qualitycontech.callix.com.br,2025-12-20,0,0,0,0,0
lunart3contech.callix.com.br,2025-12-20,0,0,0,0,0
