,Cliente,Data,Chamadas,Completas,Recusadas,Abandonadas
0,Essence,02/12/2025,41005,1277,39689,39
1,investmais,02/12/2025,29139,614,28471,54
2,Corplar,02/12/2025,24909,701,24127,81
3,Quality,02/12/2025,132337,1848,130453,36
4,Lunart 3,02/12/2025,2767,76,2682,9
5,valm,02/12/2025,48649,1541,47062,46
6,Datateck,02/12/2025,6705,147,6529,29
7,RDF,02/12/2025,152593,3343,149142,108
8,afsilva,02/12/2025,5518,255,5213,50
9,Money Solutions,02/12/2025,2272,51,2209,12
